,Population,ViolentCrime,PoliceShootings,State,City
Alameda Police Department,76206,158,1,CA,Alameda
Albuquerque Police Department,558165,4325,4,NM,Albuquerque
Alexandria Police Department,148519,258,1,VA,Alexandria
Alhambra Police Department,84710,163,1,CA,Alhambra
Allentown Police Department,119277,628,1,PA,Allentown
Amarillo Police Department,196577,1286,1,TX,Amarillo
Anchorage Police Department,299455,2435,3,AK,Anchorage
Anderson Police Department,26812,278,2,SC,Anderson
Annapolis Police Department,38649,169,1,MD,Annapolis
Antioch Police Department,106447,946,1,CA,Antioch
Arlington Heights Police Department,75978,42,1,IL,Arlington Heights
Arlington Police Department,378765,1837,1,TX,Arlington
Ashland Police Department,17162,18,1,MA,Ashland
Atlanta Police Department,451020,5517,1,GA,Atlanta
Aurora Police Department,343484,1436,1,CO,Aurora
Austin Police Department,859180,3123,3,TX,Austin
Bakersfield Police Department,361859,1857,5,CA,Bakersfield
Baltimore Police Department,622671,8725,11,MD,Baltimore
Banning Police Department,30503,129,1,CA,Banning
Baton Rouge Police Department,230212,2127,1,LA,Baton Rouge
Beaufort Police Department,4107,16,1,NC,Beaufort
Belding Police Department,5751,7,1,MI,Belding
Belleville Police Department,36229,112,1,NJ,Belleville
Beloit Police Department,36817,129,1,WI,Beloit
Bend Police Department,79926,182,1,OR,Bend
Benton Police Department,32548,107,1,AR,Benton
Berkeley Police Department,116217,562,1,CA,Berkeley
Billings Police Department,107802,360,2,MT,Billings
Bladensburg Police Department,9381,95,1,MD,Bladensburg
Bloomington Police Department,78060,399,1,IL,Bloomington
Blue Island Police Department,23846,108,1,IL,Blue Island
Blytheville Police Department,15220,235,1,AR,Blytheville
Boca Raton Police Department,88749,165,2,FL,Boca Raton
Boston Police Department,643799,5037,3,MA,Boston
Bothell Police Department,35007,18,1,WA,Bothell
Boulder Police Department,102828,218,1,CO,Boulder
Bradenton Police Department,51023,351,1,FL,Bradenton
Bridgeport Police Department,147076,1397,2,CT,Bridgeport
Brooklyn Center Police Department,30814,132,1,MN,Brooklyn Center
Brusly Police Department,2543,3,1,LA,Brusly
Buckeye Police Department,55710,49,1,AZ,Buckeye
Calais Police Department,3054,11,1,ME,Calais
Cape Coral Police Department,163461,197,1,FL,Cape Coral
Carmel Police Department,84880,20,1,IN,Carmel
Charlotte-Mecklenburg Police Department,837638,5093,4,NC,Charlotte-Mecklenburg
Chico Police Department,88226,299,1,CA,Chico
Cincinnati Police Department,296491,2826,1,OH,Cincinnati
Citrus Heights Police Department,85337,320,1,CA,Citrus Heights
Clearwater Police Department,108908,618,2,FL,Clearwater
Cleveland Police Department,389181,5751,1,OH,Cleveland
Columbia Police Department,132240,952,1,SC,Columbia
Concord Police Department,125464,407,1,CA,Concord
Conroe Police Department,62962,216,1,TX,Conroe
Copperas Cove Police Department,33780,95,1,TX,Copperas Cove
Coralville Police Department,19949,44,1,IA,Coralville
Corpus Christi Police Department,314523,1939,1,TX,Corpus Christi
Corsicana Police Department,23940,121,1,TX,Corsicana
Culver City Police Department,39452,161,1,CA,Culver City
Cushing Police Department,7860,16,1,OK,Cushing
Dallas Police Department,1255015,8330,9,TX,Dallas
Daly City Police Department,104536,223,1,CA,Daly City
Danvers Police Department,27263,51,1,MA,Danvers
Dayton Police Department,141167,1230,1,OH,Dayton
Denver Police Department,648981,4087,4,CO,Denver
Deptford Township Police Department,30492,61,1,NJ,Deptford Township
Des Moines Police Department,207391,1026,2,IA,Des Moines
Desert Hot Springs Police Department,27936,277,1,CA,Desert Hot Springs
Detroit Police Department,699889,14504,1,MI,Detroit
Duluth Police Department,86211,342,1,MN,Duluth
Duncanville Police Department,39811,146,1,TX,Duncanville
East Millinocket Police Department,3027,0,1,ME,East Millinocket
East Orange Police Department,64425,405,1,NJ,East Orange
East Pittsburgh Police Department,1818,57,1,PA,East Pittsburgh
El Paso Police Department,679700,2522,4,TX,El Paso
Erie Police Department,100814,457,1,PA,Erie
Escondido Police Department,148650,596,1,CA,Escondido
Etowah Police Department,3489,16,1,TN,Etowah
Eugene Police Department,158499,402,1,OR,Eugene
Fairfield Police Department,108425,498,2,CA,Fairfield
Farmington Police Department,45820,291,3,NM,Farmington
Farmington Police Department,45820,291,3,NM,Farmington
Fayetteville Police Department,202524,1170,3,NC,Fayetteville
Federal Way Police Department,92741,291,1,WA,Federal Way
Fife Police Department,9380,89,1,WA,Fife
Florissant Police Department,52289,85,1,MO,Florissant
Fort Lauderdale Police Department,172398,1456,1,FL,Fort Lauderdale
Fort Morgan Police Department,11487,33,1,CO,Fort Morgan
Fort Wayne Police Department,254820,949,4,IN,Fort Wayne
Fort Worth Police Department,789035,4420,6,TX,Fort Worth
Fountain Police Department,27163,78,1,CO,Fountain
Freeport Police Department,12090,28,2,TX,Freeport
Fremont Police Department,224475,273,1,CA,Fremont
Fresno Police Department,508876,2552,2,CA,Fresno
Fruita Police Department,12723,20,1,CO,Fruita
Fullerton Police Department,139676,372,1,CA,Fullerton
Gardena Police Department,59703,245,1,CA,Gardena
Garland Police Department,235683,514,1,TX,Garland
Gastonia Police Department,73049,510,1,NC,Gastonia
Glendale Police Department,234006,905,1,AZ,Glendale
Granbury Police Department,8464,21,1,TX,Granbury
Grand Prairie Police Department,183822,511,2,TX,Grand Prairie
Grantsville Police,9530,15,1,UT,Grantsville
Grapevine Police Department,49075,88,1,TX,Grapevine
Green Bay Police Department,105107,500,1,WI,Green Bay
Greensboro Police Department,279343,1449,1,NC,Greensboro
Greenville Police Department,88018,555,1,NC,Greenville
Haltom City Police Department,43676,110,1,TX,Haltom City
Hampden Police Department,7275,4,1,ME,Hampden
Hanahan Police Department,19538,32,1,SC,Hanahan
Harlingen Police Department,65885,264,1,TX,Harlingen
Hartford Police Department,124927,1473,1,CT,Hartford
Hawthorne Police Department,86132,580,1,CA,Hawthorne
Hayward Police Department,150955,589,3,CA,Hayward
Hazelwood Police Department,25670,95,1,MO,Hazelwood
Hazleton Police Department,25191,83,1,PA,Hazleton
Henderson Police Department,268237,367,1,NV,Henderson
Hialeah Police Department,234182,774,1,FL,Hialeah
Highland Park Police Department,8900,5,1,TX,Highland Park
Hillsboro Police Department,96313,141,1,OR,Hillsboro
Hollywood Police Department,146643,720,1,FL,Hollywood
Homewood Police Department,19445,45,1,IL,Homewood
Houston Police Department,2180606,20993,9,TX,Houston
Huntington Beach Police Department,195842,362,1,CA,Huntington Beach
Huntsville Police Department,184738,1507,2,AL,Huntsville
Huron Police Department,6812,71,1,CA,Huron
Independence Police Department,117381,543,1,MO,Independence
Indio Police Department,80243,468,2,CA,Indio
Inglewood Police Department,111672,739,1,CA,Inglewood
Iowa City Police Department,70855,228,1,IA,Iowa City
Irving Police Department,228367,530,1,TX,Irving
Irvington Police Department,54246,815,1,NJ,Irvington
Jacksonville Police Department,28739,217,1,AR,Jacksonville
Jacksonville Sheriff's Office,845745,5246,6,FL,Jacksonville
Jamestown Police Department,30658,168,1,NY,Jamestown
Jefferson City Police Department,8213,30,1,TN,Jefferson City
Jersey City Police Department,256886,1655,1,NJ,Jersey City
Kansas City Police Department,465514,5864,5,MO,Kansas City
Kelso Police Department,11802,72,1,WA,Kelso
Kenner Police Department,66854,193,1,LA,Kenner
Key West Police Department,25185,179,1,FL,Key West
Killeen Police Department,136539,753,1,TX,Killeen
Klamath Falls Police Department,21043,76,1,OR,Klamath Falls
Lafayette Police Department,123409,868,1,LA,Lafayette
Lake Stevens Police Department,29388,44,1,WA,Lake Stevens
Lakewood Police Department,146298,624,2,CO,Lakewood
Lakewood Police Department,146298,624,2,CO,Lakewood
Lancaster Police Department,59370,497,1,PA,Lancaster
Las Cruces Police Department,102007,332,1,NM,Las Cruces
Leesburg Police Department,20910,172,2,FL,Leesburg
Levelland Police Department,13681,67,1,TX,Levelland
Little Rock Police Department,197399,2777,4,AR,Little Rock
Long Beach Police Department,469665,2346,6,CA,Long Beach
Longview Police Department,81273,451,2,TX,Longview
Lorain Police Department,63582,304,1,OH,Lorain
Los Angeles Police Department,3878725,16524,18,CA,Los Angeles
Los Banos Police Department,36965,109,1,CA,Los Banos
Louisville Metro Police Department,671120,3644,2,KY,Louisville Metro
Lynn Police Department,91769,814,1,MA,Lynn
Lynnwood Police Department,36396,105,1,WA,Lynnwood
Madison Police Department,242523,884,2,WI,Madison
Malakoff Police Department,2327,13,1,TX,Malakoff
Martinsburg Police Department,17589,70,1,WV,Martinsburg
Memphis Police Department,657691,10894,10,TN,Memphis
