,City,State,Location,Population,ViolentCrime,PoliceViolence
Abilene Police Department,Abilene,TX,"[32.4464534, -99.7333477]",119401,477,0
Akron Police Department,Akron,OH,"[41.0830643, -81.5184853]",198405,1570,0
Albuquerque Police Department,Albuquerque,NM,"[35.0841034, -106.650985]",558165,4325,4
Alexandria Police Department,Alexandria,VA,"[38.8051095, -77.0470228]",148519,258,1
Allentown Police Department,Allentown,PA,"[40.6022059, -75.4712793]",119277,628,1
Amarillo Police Department,Amarillo,TX,"[35.2072185, -101.8338245]",196577,1286,1
Amherst Police Department,Amherst,NY,,118296,107,0
Anaheim Police Department,Anaheim,CA,"[33.8347516, -117.9117319]",345320,1130,0
Ann Arbor Police Department,Ann Arbor,MI,"[42.2681569, -83.731229]",116799,247,0
Arlington Police Department,Arlington,VA,,378765,1837,1
Arlington Police Department,Arlington,TX,,378765,1837,1
Atlanta Police Department,Atlanta,GA,"[33.7490987, -84.3901848]",451020,5517,1
Aurora Police Department,Aurora,CO,,200551,601,1
Aurora Police Department,Aurora,IL,,200551,601,1
Austin Police Department,Austin,TX,"[30.2711286, -97.7436994]",859180,3123,3
Bakersfield Police Department,Bakersfield,CA,"[35.3738712, -119.0194638]",361859,1857,5
Baltimore Police Department,Baltimore,MD,,622671,8725,11
Baltimore Police Department,Baltimore,MD,,622671,8725,11
Baton Rouge Police Department,Baton Rouge,LA,"[30.4507462, -91.1545509]",230212,2127,1
Beaumont Police Department,Beaumont,TX,"[30.0860459, -94.101846]",118177,1225,0
Bellevue Police Department,Bellevue,WA,"[47.6144219, -122.1923371]",127678,125,0
Berkeley Police Department,Berkeley,CA,"[37.8708393, -122.2728638]",116217,562,1
Billings Police Department,Billings,MT,"[45.7874957, -108.4960699]",107802,360,2
Birmingham Police Department,Birmingham,AL,"[33.5206824, -86.8024325]",212001,2852,0
Boise Police Department,Boise,ID,"[43.61656, -116.2008349]",214330,600,0
Boston Police Department,Boston,MA,"[42.3604823, -71.0595677]",643799,5037,3
Bridgeport Police Department,Bridgeport,CT,"[41.1670412, -73.2048347]",147076,1397,2
Buffalo Police Department,Buffalo,NY,"[42.8867166, -78.8783921]",258789,3249,0
Burbank Police Department,Burbank,CA,"[34.1816482, -118.3258553]",104727,171,0
Cambridge Police Department,Cambridge,MA,"[42.3750997, -71.1056156]",107282,361,0
Cape Coral Police Department,Cape Coral,FL,"[26.6058996, -81.9807339]",163461,197,1
Carrollton Police Department,Carrollton,TX,"[32.9537349, -96.8902815]",127459,185,0
Cary Police Department,Cary,NC,"[35.7882973, -78.7811924]",148905,102,0
Cedar Rapids Police Department,Cedar Rapids,IA,"[41.9758872, -91.6704052]",128642,392,0
Chandler Police Department,Chandler,AZ,"[33.3067132, -111.8408488]",248718,575,0
Charleston Police Department,Charleston,SC,"[32.7876012, -79.9402727]",127206,231,0
Charlotte-Mecklenburg Police Department,Charlotte-Mecklenburg,NC,"[35.2270869, -80.8431267]",837638,5093,4
Chesapeake Police Department,Chesapeake,VA,"[36.7183708, -76.2466797]",230577,737,0
Chula Vista Police Department,Chula Vista,CA,"[32.6400541, -117.0841954]",255073,595,0
Cincinnati Police Department,Cincinnati,OH,"[39.1014537, -84.5124601]",296491,2826,1
Clarksville Police Department,Clarksville,TN,"[36.5277607, -87.3588702]",145599,748,0
Clearwater Police Department,Clearwater,FL,"[27.9658533, -82.8001025]",108908,618,2
Cleveland Police Department,Cleveland,OH,"[41.5051613, -81.6934445]",389181,5751,1
Clovis Police Department,Clovis,CA,"[36.8252277, -119.7029193]",99483,181,0
College Station Police Department,College Station,TX,"[30.6253463, -96.3271537]",98919,379,0
Colorado Springs Police Department,Colorado Springs,CO,"[38.8339578, -104.8253484]",436108,1893,0
Columbia Police Department,Columbia,MO,,132240,952,1
Columbia Police Department,Columbia,SC,,132240,952,1
Concord Police Department,Concord,CA,"[37.9768525, -122.0335623]",125464,407,1
Coral Springs Police Department,Coral Springs,FL,"[26.26485615, -80.2653419379876]",126608,237,0
Corona Police Department,Corona,CA,"[37.0066161, -121.9969062]",160159,162,0
Corpus Christi Police Department,Corpus Christi,TX,"[27.8002542, -97.3955743]",314523,1939,1
Costa Mesa Police Department,Costa Mesa,CA,"[33.6633386, -117.9033169]",112538,252,0
Dallas Police Department,Dallas,TX,"[32.7762719, -96.7968558]",1255015,8330,9
Daly Police Department,Daly,CA,,104536,223,0
Davenport Police Department,Davenport,IA,"[41.5236436, -90.5776367]",101834,654,0
Dayton Police Department,Dayton,OH,"[39.7589478, -84.1916068]",141167,1230,1
Denton Police Department,Denton,TX,"[33.1838787, -97.1413416]",123260,338,0
Denver Police Department,Denver,CO,"[39.7391536, -104.9847033]",648981,4087,4
Des Moines Police Department,Des Moines,IA,"[41.5910641, -93.6037148]",207391,1026,2
Detroit Police Department,Detroit,MI,"[42.3486635, -83.0567374]",699889,14504,1
Downey Police Department,Downey,CA,"[33.9400143, -118.1325687]",113222,326,0
Edison Township Police Department,Edison Township,NJ,"[40.5382375, -74.3945172450877]",101316,123,0
El Cajon Police Department,El Cajon,CA,"[32.7947731, -116.9625268]",102012,386,0
El Monte Police Department,El Monte,CA,"[34.0751571, -118.0368489]",115591,340,0
El Paso Police Department,El Paso,TX,"[31.7600372, -106.4872869]",679700,2522,4
Elgin Police Department,Elgin,IL,"[42.0372487, -88.2811894]",110454,236,0
Elizabeth Police Department,Elizabeth,NJ,"[40.6639916, -74.2107005]",127067,999,0
Elk Grove Police Department,Elk Grove,CA,"[38.4087993, -121.3716177]",160925,469,0
Escondido Police Department,Escondido,CA,"[33.1216751, -117.0814848]",148650,596,1
Evansville Police Department,Evansville,IN,"[37.9747645, -87.5558482]",120284,564,0
Everett Police Department,Everett,WA,"[47.9673056, -122.2013997]",105129,443,0
Fairfax Police Department,Fairfax,VA,,23801,26,0
Fairfield Police Department,Fairfield,CA,"[38.2493581, -122.0399662]",108425,498,2
Fargo Police Department,Fargo,ND,"[46.8772292, -96.7898209]",111101,446,0
Fayetteville Police Department,Fayetteville,NC,"[35.0529931, -78.8787057]",202524,1170,3
Fontana Police Department,Fontana,CA,"[34.0922335, -117.4350479]",203427,725,0
Fort Collins Police Department,Fort Collins,CO,"[40.5508527, -105.0668084]",150066,357,0
Fort Lauderdale Police Department,Fort Lauderdale,FL,"[26.1223084, -80.1433785]",172398,1456,1
Fort Wayne Police Department,Fort Wayne,IN,"[41.0799898, -85.1386014]",254820,949,4
Fort Worth Police Department,Fort Worth,TX,"[32.753177, -97.3327458]",789035,4420,6
Fremont Police Department,Fremont,CA,"[37.5482697, -121.9885718]",224475,273,1
Fresno Police Department,Fresno,CA,"[36.7394421, -119.7848306]",508876,2552,2
Frisco Police Department,Frisco,TX,"[33.1506744, -96.8236115]",131769,100,0
Fullerton Police Department,Fullerton,CA,"[33.8708215, -117.9294164]",139676,372,1
Gainesville Police Department,Gainesville,FL,"[29.6519396, -82.324996]",126589,806,0
Garden Grove Police Department,Garden Grove,CA,"[33.7746292, -117.9463716]",175469,455,0
