,Population,ViolentCrime,PoliceShootings,State,City
Abilene Police Department,119401,477,0,TX,Abilene
Akron Police Department,198405,1570,0,OH,Akron
Albemarle County Police Department,0,0,0,0,0
Albuquerque Police Department,558165,4325,4,NM,Albuquerque
Alexandria Police Department,148519,258,1,VA,Alexandria
Allentown Police Department,119277,628,1,PA,Allentown
Amarillo Police Department,196577,1286,1,TX,Amarillo
Amherst Police Department,0,0,0,0,0
Anaheim Police Department,345320,1130,0,CA,Anaheim
Ann Arbor Police Department,116799,247,0,MI,Ann Arbor
Arlington County Police Department,0,0,0,0,0
Arlington Police Department,378765,1837,1,TX,Arlington
Athens-Clarke County Police Department,120122,404,0,GA,Athens-Clarke County
Atlanta Police Department,451020,5517,1,GA,Atlanta
Aurora Police Department,200551,601,1,IL,Aurora
Aurora Police Department,200551,601,1,IL,Aurora
Austin Police Department,859180,3123,3,TX,Austin
Bakersfield Police Department,361859,1857,5,CA,Bakersfield
Baltimore County Police Department,0,0,0,0,0
Baltimore Police Department,622671,8725,11,MD,Baltimore
Baton Rouge Police Department,230212,2127,1,LA,Baton Rouge
Beaumont Police Department,118177,1225,0,TX,Beaumont
Bellevue Police Department,127678,125,0,WA,Bellevue
Berkeley Police Department,116217,562,1,CA,Berkeley
Billings Police Department,107802,360,2,MT,Billings
Birmingham Police Department,212001,2852,0,AL,Birmingham
Boise Police Department,214330,600,0,ID,Boise
Boston Police Department,643799,5037,3,MA,Boston
Bridgeport Police Department,147076,1397,2,CT,Bridgeport
Buffalo Police Department,258789,3249,0,NY,Buffalo
Burbank Police Department,104727,171,0,CA,Burbank
Cambridge Police Department,107282,361,0,MA,Cambridge
Cape Coral Police Department,163461,197,1,FL,Cape Coral
Carrollton Police Department,127459,185,0,TX,Carrollton
Cary Police Department,148905,102,0,NC,Cary
Cedar Rapids Police Department,128642,392,0,IA,Cedar Rapids
Chandler Police Department,248718,575,0,AZ,Chandler
Charleston Police Department,127206,231,0,SC,Charleston
Charlotte-Mecklenburg Police Department,837638,5093,4,NC,Charlotte-Mecklenburg
Chesapeake Police Department,230577,737,0,VA,Chesapeake
Chesterfield County Police Department,0,0,0,0,0
Chicago Police Department,0,0,0,0,0
Chula Vista Police Department,255073,595,0,CA,Chula Vista
Cincinnati Police Department,296491,2826,1,OH,Cincinnati
Clarksville Police Department,145599,748,0,TN,Clarksville
Clearwater Police Department,108908,618,2,FL,Clearwater
Cleveland Police Department,389181,5751,1,OH,Cleveland
Clovis Police Department,99483,181,0,CA,Clovis
College Station Police Department,98919,379,0,TX,College Station
Colorado Springs Police Department,436108,1893,0,CO,Colorado Springs
Columbia Police Department,132240,952,1,SC,Columbia
Columbia Police Department,132240,952,1,SC,Columbia
Columbus Police Department,0,0,0,0,0
Concord Police Department,125464,407,1,CA,Concord
Coral Springs Police Department,126608,237,0,FL,Coral Springs
Corona Police Department,160159,162,0,CA,Corona
Corpus Christi Police Department,314523,1939,1,TX,Corpus Christi
Costa Mesa Police Department,112538,252,0,CA,Costa Mesa
Dallas Police Department,1255015,8330,9,TX,Dallas
Daly City Police Department,104536,223,1,CA,Daly City
Davenport Police Department,101834,654,0,IA,Davenport
Dayton Police Department,141167,1230,1,OH,Dayton
DeKalb County Police Department,0,0,0,0,0
Denton Police Department,123260,338,0,TX,Denton
Denver Police Department,648981,4087,4,CO,Denver
Des Moines Police Department,207391,1026,2,IA,Des Moines
Detroit Police Department,699889,14504,1,MI,Detroit
Downey Police Department,113222,326,0,CA,Downey
Durham Police Department,0,0,0,0,0
Edison Township Police Department,101316,123,0,NJ,Edison Township
El Cajon Police Department,102012,386,0,CA,El Cajon
El Monte Police Department,115591,340,0,CA,El Monte
El Paso Police Department,679700,2522,4,TX,El Paso
Elgin Police Department,110454,236,0,IL,Elgin
Elizabeth Police Department,127067,999,0,NJ,Elizabeth
Elk Grove Police Department,160925,469,0,CA,Elk Grove
Erie Bureau of Police,0,0,0,0,0
Escondido Police Department,148650,596,1,CA,Escondido
Evansville Police Department,120284,564,0,IN,Evansville
Everett Police Department,105129,443,0,WA,Everett
Fairfax County Police Department,0,0,0,0,0
Fairfield Police Department,108425,498,2,CA,Fairfield
Fargo Police Department,111101,446,0,ND,Fargo
Fayetteville Police Department,202524,1170,3,NC,Fayetteville
Fontana Police Department,203427,725,0,CA,Fontana
Fort Collins Police Department,150066,357,0,CO,Fort Collins
Fort Lauderdale Police Department,172398,1456,1,FL,Fort Lauderdale
Fort Wayne Police Department,254820,949,4,IN,Fort Wayne
Fort Worth Police Department,789035,4420,6,TX,Fort Worth
Fremont Police Department,224475,273,1,CA,Fremont
Fresno Police Department,508876,2552,2,CA,Fresno
Frisco Police Department,131769,100,0,TX,Frisco
Fullerton Police Department,139676,372,1,CA,Fullerton
Gainesville Police Department,126589,806,0,FL,Gainesville
Garden Grove Police Department,175469,455,0,CA,Garden Grove
Gilbert Police Department,225232,193,0,AZ,Gilbert
Glendale Police Department,195366,181,1,CA,Glendale
Glendale Police Department,195366,181,1,CA,Glendale
Grand Prairie Police Department,183822,511,2,TX,Grand Prairie
Grand Rapids Police Department,191213,1326,0,MI,Grand Rapids
Green Bay Police Department,105107,500,1,WI,Green Bay
Greensboro Police Department,279343,1449,1,NC,Greensboro
Hampton Police Division,0,0,0,0,0
Hartford Police Department,124927,1473,1,CT,Hartford
Hawaii County Police Department,0,0,0,0,0
Hayward Police Department,150955,589,3,CA,Hayward
Henderson Police Department,268237,367,1,NV,Henderson
Henrico County Police Department,0,0,0,0,0
Hialeah Police Department,234182,774,1,FL,Hialeah
High Point Police Department,107261,556,0,NC,High Point
Hollywood Police Department,146643,720,1,FL,Hollywood
Honolulu County Police Department,0,0,0,0,0
Houston Police Department,2180606,20993,9,TX,Houston
Howard County Police Department,0,0,0,0,0
Huntsville Police Department,184738,1507,2,AL,Huntsville
Independence Police Department,117381,543,1,MO,Independence
Indianapolis Metro Police,0,0,0,0,0
Inglewood Police Department,111672,739,1,CA,Inglewood
Irvine Police Department,235830,113,0,CA,Irvine
Irving Police Department,228367,530,1,TX,Irving
Jackson Police Department,176039,1631,0,MS,Jackson
Jacksonville Sheriff's Office,845745,5246,6,FL,Jacksonville
Jersey City Police Department,256886,1655,1,NJ,Jersey City
Joliet Police Department,148462,557,0,IL,Joliet
Kansas City Police Department,465514,5864,5,MO,Kansas City
Kansas City Police Department,465514,5864,5,MO,Kansas City
Kent Police Department,124359,319,0,WA,Kent
Knoxville Police Department,183249,1541,0,TN,Knoxville
Lafayette Police Department,123409,868,1,LA,Lafayette
Lakeland Police Department,100725,460,0,FL,Lakeland
Lakewood Police Department,146298,624,1,CO,Lakewood
