,State,Tally
Abilene Police Department,TX,0
Akron Police Department,OH,0
Albemarle County Police Department,VA,1
Albuquerque Police Department,NM,4
Alexandria Police Department,VA,1
Allentown Police Department,PA,1
Amarillo Police Department,TX,1
Amherst Police Department,NY,0
Anaheim Police Department,CA,0
Ann Arbor Police Department,MI,0
Arlington County Police Department,VA,0
Arlington Police Department,TX,1
Athens-Clarke County Police Department,GA,0
Atlanta Police Department,GA,1
Aurora Police Department,CO,1
Aurora Police Department,IL,1
Austin Police Department,TX,3
Bakersfield Police Department,CA,5
Baltimore County Police Department,MD,4
Baltimore Police Department,MD,11
Baton Rouge Police Department,LA,1
Beaumont Police Department,TX,0
Bellevue Police Department,WA,0
Berkeley Police Department,CA,1
Billings Police Department,MT,2
Birmingham Police Department,AL,0
Boise Police Department,ID,0
Boston Police Department,MA,3
Bridgeport Police Department,CT,2
Buffalo Police Department,NY,0
Burbank Police Department,CA,0
Cambridge Police Department,MA,0
Cape Coral Police Department,FL,1
Carrollton Police Department,TX,0
Cary Police Department,NC,0
Cedar Rapids Police Department,IA,0
Chandler Police Department,AZ,0
Charleston Police Department,SC,0
Charlotte-Mecklenburg Police Department,NC,4
Chesapeake Police Department,VA,0
Chesterfield County Police Department,VA,0
Chicago Police Department,IL,13
Chula Vista Police Department,CA,0
Cincinnati Police Department,OH,1
Clarksville Police Department,TN,0
Clearwater Police Department,FL,2
Cleveland Police Department,OH,1
Clovis Police Department,CA,0
College Station Police Department,TX,0
Colorado Springs Police Department,CO,0
Columbia Police Department,MO,1
Columbia Police Department,SC,1
Columbus Police Department,OH,0
Concord Police Department,CA,1
Coral Springs Police Department,FL,0
Corona Police Department,CA,0
Corpus Christi Police Department,TX,1
Costa Mesa Police Department,CA,0
Dallas Police Department,TX,9
Daly City Police Department,CA,1
Davenport Police Department,IA,0
Dayton Police Department,OH,1
DeKalb County Police Department,GA,0
Denton Police Department,TX,0
Denver Police Department,CO,4
Des Moines Police Department,IA,2
Detroit Police Department,MI,1
Downey Police Department,CA,0
Durham Police Department,NC,3
Edison Township Police Department,NJ,0
El Cajon Police Department,CA,0
El Monte Police Department,CA,0
El Paso Police Department,TX,4
Elgin Police Department,IL,0
Elizabeth Police Department,NJ,0
Elk Grove Police Department,CA,0
