,Total Minority Police Rep,Total Minority Pop Diff,Hispanic Police Rep,Hispanic Pop Diff,Black Police Rep,Black Pop Diff,Asian Police Rep,Asian Pop Diff,State
Abilene Police Department,11.0,-28.4,7.9,-17.4,3.1,-6.9,0.0,-2.0,TX
Akron Police Department,19.7,-19.9,0.2,-2.0,18.4,-12.0,1.0,-1.6,OH
Albemarle County Police Department,5.8,-16.7,2.5,-3.2,3.3,-5.7,0.0,-4.2,VA
Albuquerque Police Department,42.9,-15.4,39.4,-7.5,2.3,-0.6,1.0,-1.4,NM
Alexandria Police Department,31.5,-16.0,10.3,-6.4,16.1,-5.1,4.8,-1.5,VA
Allentown Police Department,10.3,-49.0,7.5,-37.6,2.8,-7.2,0.0,-1.6,PA
Amarillo Police Department,15.3,-26.9,13.6,-16.6,1.5,-4.6,0.0,-3.3,TX
Amherst Police Department,2.0,-16.4,0.7,-2.4,1.3,-4.5,0.0,-7.6,NY
Anaheim Police Department,35.5,-37.1,24.5,-28.1,3.3,0.7,7.0,-8.1,CA
Ann Arbor Police Department,17.2,-12.6,2.6,-1.8,8.6,1.3,3.4,-10.9,MI
Arlington County Police Department,25.7,-10.8,12.2,-3.2,10.2,1.8,3.3,-6.3,VA
Arlington Police Department,34.8,-21.3,12.9,-15.4,16.1,-2.8,4.5,-2.4,TX
Athens-Clarke County Police Department,18.9,-24.4,3.8,-6.8,14.7,-11.6,0.4,-3.9,GA
Atlanta Police Department,62.8,-0.1,3.8,-1.5,57.9,5.7,1.0,-2.7,GA
Aurora Police Department,15.1,-38.2,7.6,-21.3,3.8,-11.8,0.9,-3.9,CO
Aurora Police Department,18.1,-41.7,11.5,-30.2,4.9,-3.5,0.0,-7.4,IL
Austin Police Department,30.8,-19.9,20.5,-13.4,8.7,1.2,1.6,-4.9,TX
Bakersfield Police Department,25.0,-39.3,19.2,-27.7,3.4,-4.6,2.4,-4.2,CA
Baltimore County Police Department,14.5,-24.4,1.4,-3.2,11.5,-14.9,1.3,-4.1,MD
Baltimore Police Department,49.3,-22.6,7.1,2.6,40.3,-22.2,1.6,-0.8,MD
Baton Rouge Police Department,30.2,-33.3,0.6,-2.4,29.6,-25.2,0.0,-3.7,LA
Beaumont Police Department,22.1,-43.7,7.5,-6.4,13.8,-32.8,0.0,-3.4,TX
Bellevue Police Department,14.2,-28.0,2.3,-3.6,1.7,-0.3,8.5,-21.0,WA
Berkeley Police Department,42.8,-1.6,10.8,-0.8,16.3,8.2,15.7,-3.5,CA
Billings Police Department,2.2,-11.5,0.7,-4.8,0.7,-0.3,0.0,-0.9,MT
Birmingham Police Department,60.7,-17.9,0.0,-3.3,60.7,-12.4,0.0,-1.1,AL
Boise Police Department,8.5,-7.7,3.9,-3.7,3.5,2.3,0.7,-2.8,ID
Boston Police Department,34.5,-19.4,8.3,-10.2,23.9,1.4,2.4,-6.7,MA
Bridgeport Police Department,42.4,-36.5,26.6,-13.2,15.2,-18.1,0.5,-2.9,CT
Buffalo Police Department,29.2,-25.5,7.1,-3.6,21.9,-14.5,0.3,-3.7,NY
Burbank Police Department,28.9,-15.6,21.1,-5.6,3.9,2.0,0.0,-11.4,CA
Cambridge Police Department,22.4,-15.7,8.7,0.7,10.8,0.0,2.9,-12.1,MA
Cape Coral Police Department,9.3,-16.4,7.4,-11.7,1.9,-1.4,0.0,-1.8,FL
Carrollton Police Department,9.8,-46.4,3.1,-27.8,4.9,-3.7,1.8,-12.4,TX
Cary Police Department,10.6,-23.2,1.1,-7.7,9.4,1.7,0.0,-14.3,NC
Cedar Rapids Police Department,4.0,-10.8,1.0,-2.7,2.0,-4.3,1.0,-0.7,IA
Chandler Police Department,14.2,-26.0,9.1,-13.2,2.8,-2.4,1.6,-6.7,AZ
Charleston Police Department,21.7,-8.3,2.7,-0.2,18.6,-5.3,0.2,-1.2,SC
Charlotte-Mecklenburg Police Department,22.8,-33.0,3.7,-9.7,16.5,-18.0,2.1,-3.0,NC
Chesapeake Police Department,19.9,-20.5,5.0,0.2,12.2,-17.2,2.5,-0.7,VA
Chesterfield County Police Department,11.6,-24.2,2.1,-5.4,7.6,-14.7,1.5,-2.0,VA
Chicago Police Department,47.9,-20.1,18.8,-10.3,24.7,-6.6,0.3,-5.5,IL
Chula Vista Police Department,38.0,-41.9,29.0,-29.5,4.0,-0.1,5.0,-8.6,CA
Cincinnati Police Department,33.9,-16.7,0.5,-2.4,30.6,-12.4,0.6,-1.3,OH
Clarksville Police Department,15.8,-24.0,2.9,-7.3,11.0,-11.4,0.0,-2.1,TN
Clearwater Police Department,18.6,-9.7,7.8,-5.1,9.1,-1.0,0.9,-1.7,FL
Cleveland Police Department,35.8,-29.9,8.9,-1.6,26.0,-24.9,0.9,-0.8,OH
Clovis Police Department,26.7,-15.3,20.0,-5.9,2.2,-0.1,2.2,-8.4,CA
College Station Police Department,12.2,-19.4,5.7,-8.6,5.7,-0.5,0.0,-8.8,TX
Colorado Springs Police Department,17.9,-12.1,10.0,-7.1,4.4,-1.5,2.7,-0.1,CO
Columbia Police Department,5.3,-17.9,0.7,-2.9,3.3,-6.4,0.0,-5.6,MO
Columbia Police Department,33.8,-18.6,3.2,-2.9,29.8,-11.6,0.8,-1.7,SC
Columbus Police Department,13.6,-27.9,1.2,-4.6,11.3,-16.1,1.0,-3.3,OH
Concord Police Department,21.8,-28.8,12.0,-18.5,2.8,-1.1,5.6,-4.7,CA
Coral Springs Police Department,17.7,-32.5,9.9,-14.1,7.9,-11.7,0.0,-4.1,FL
Corona Police Department,36.1,-25.5,25.9,-16.3,1.4,-3.8,0.7,-10.3,CA
Corpus Christi Police Department,51.0,-16.9,48.0,-12.7,2.9,-1.1,0.0,-1.8,TX
Costa Mesa Police Department,25.4,-22.9,15.6,-19.8,1.6,0.5,8.2,-0.9,CA
Dallas Police Department,46.2,-24.4,18.4,-23.4,25.3,1.0,1.8,-1.1,TX
Daly City Police Department,36.7,-50.8,12.8,-10.8,6.4,3.6,11.9,-45.4,CA
Davenport Police Department,0.0,-24.6,0.0,-8.1,0.0,-11.2,0.0,-2.3,IA
Dayton Police Department,11.4,-37.0,0.9,-2.8,9.4,-31.1,0.9,-0.3,OH
DeKalb County Police Department,61.2,-9.0,3.2,-6.1,56.1,3.1,1.7,-3.7,GA
Denton Police Department,23.1,-17.5,7.7,-14.3,12.2,1.3,1.9,-2.0,TX
Denver Police Department,32.9,-14.1,20.0,-11.2,9.7,0.2,2.0,-1.4,CO
Des Moines Police Department,11.4,-19.4,4.2,-8.2,4.2,-6.2,2.8,-2.2,IA
Detroit Police Department,66.9,-24.6,3.8,-3.7,62.6,-18.1,0.4,-0.9,MI
Downey Police Department,49.0,-34.1,45.1,-26.2,2.0,-2.2,1.0,-5.6,CA
Durham Police Department,35.6,-26.3,4.6,-9.2,29.6,-10.4,0.2,-4.6,NC
Edison Township Police Department,8.5,-55.1,1.8,-7.6,3.0,-2.5,1.8,-44.1,NJ
El Cajon Police Department,11.8,-31.6,6.4,-22.1,0.9,-4.5,4.5,1.1,CA
El Monte Police Department,55.7,-40.2,46.1,-19.8,1.7,1.1,7.0,-21.7,CA
El Paso Police Department,81.1,-4.1,76.9,-2.8,2.9,-0.2,0.0,-1.2,TX
Elgin Police Department,19.6,-40.0,9.5,-36.0,7.8,1.5,1.7,-4.4,IL
Elizabeth Police Department,37.4,-47.3,28.2,-35.0,8.3,-8.4,0.9,-0.9,NJ
Elk Grove Police Department,26.4,-37.1,9.3,-9.4,5.4,-5.4,11.6,-15.0,CA
Erie Bureau of Police,3.5,-24.4,1.2,-5.6,1.7,-13.5,0.0,-2.3,PA
Escondido Police Department,19.0,-37.7,16.2,-30.8,1.4,-0.6,1.4,-4.4,CA
Evansville Police Department,3.2,-15.8,0.4,-2.6,2.1,-10.2,0.4,-0.1,IN
Everett Police Department,10.9,-24.5,3.1,-12.1,1.6,-2.0,4.7,-4.7,WA
Fairfax County Police Department,16.2,-30.5,4.3,-11.7,7.9,-1.1,3.8,-14.0,VA
Fairfield Police Department,25.9,-39.4,18.1,-10.0,3.4,-10.7,4.3,-11.3,CA
Fargo Police Department,0.0,-12.1,0.0,-2.9,0.0,-2.9,0.0,-2.7,ND
Fayetteville Police Department,28.1,-31.1,5.4,-5.7,18.6,-21.2,2.6,-0.1,NC
Fontana Police Department,25.6,-59.9,22.7,-43.9,1.1,-8.8,1.1,-5.0,CA
Fort Collins Police Department,7.1,-10.7,4.6,-6.0,1.5,0.4,0.5,-2.4,CO
Fort Lauderdale Police Department,29.4,-21.0,15.4,-0.4,13.0,-18.0,1.0,-0.3,FL
Fort Wayne Police Department,17.6,-13.3,4.2,-4.1,11.8,-4.1,0.9,-2.4,IN
Fort Worth Police Department,30.8,-28.3,16.4,-18.1,11.6,-6.9,1.5,-2.1,TX
Fremont Police Department,28.1,-47.6,12.9,-1.5,3.5,-0.1,9.9,-42.4,CA
Fresno Police Department,45.2,-26.3,33.0,-15.0,6.3,-1.4,3.3,-9.5,CA
Frisco Police Department,11.1,-24.0,8.3,-4.0,2.1,-5.8,0.7,-10.7,TX
Fullerton Police Department,33.3,-31.0,22.2,-13.7,3.0,0.7,5.9,-17.3,CA
Gainesville Police Department,24.6,-18.0,6.1,-4.0,16.4,-6.1,0.7,-6.1,FL
Garden Grove Police Department,34.6,-43.5,26.8,-9.0,2.0,0.7,5.2,-33.2,CA
Gilbert Police Department,12.8,-16.9,10.5,-6.4,0.9,-2.2,0.9,-5.7,AZ
Glendale Police Department,20.0,-30.1,12.8,-24.4,3.8,-2.0,2.8,-0.8,AZ
Glendale Police Department,39.9,2.0,27.5,10.2,3.0,1.8,9.4,-7.2,CA
Grand Prairie Police Department,21.1,-51.6,10.1,-33.2,10.6,-10.4,0.5,-6.0,TX
Grand Rapids Police Department,12.4,-28.6,3.4,-11.6,4.1,-16.0,2.7,0.8,MI
Green Bay Police Department,3.9,-21.5,0.6,-11.7,1.1,-2.6,0.0,-4.4,WI
Greensboro Police Department,24.2,-30.7,3.5,-3.9,19.6,-21.0,0.6,-3.3,NC
Hampton Police Division,34.2,-25.2,4.3,-0.7,27.0,-22.4,0.0,-2.1,VA
Hartford Police Department,35.3,-48.8,20.9,-24.0,12.4,-22.3,1.9,-0.4,CT
Hawaii County Police Department,64.4,-4.8,0.7,-11.3,0.5,-0.1,30.9,9.6,HI
Hayward Police Department,39.9,-41.1,20.2,-20.1,8.4,-1.9,2.8,-20.7,CA
Henderson Police Department,13.5,-18.8,6.3,-7.8,3.9,-2.1,3.0,-5.1,NV
Henrico County Police Department,9.5,-34.6,2.2,-3.0,6.0,-23.1,1.0,-5.8,VA
Hialeah Police Department,89.4,-6.6,67.0,-27.7,10.6,9.8,1.1,0.7,FL
High Point Police Department,11.0,-40.0,0.9,-8.2,9.6,-22.4,0.5,-7.5,NC
Hollywood Police Department,36.8,-16.0,22.3,-9.6,12.2,-3.3,2.0,-0.5,FL
Honolulu County Police Department,86.7,6.1,1.3,-7.6,1.6,-0.8,31.8,-10.4,HI
Houston Police Department,54.9,-19.3,25.3,-18.5,22.8,0.1,6.0,-0.2,TX
Howard County Police Department,23.2,-19.6,3.3,-2.8,15.2,-2.4,4.5,-10.9,MD
Huntsville Police Department,13.2,-28.0,1.0,-4.8,11.5,-19.2,0.5,-1.6,AL
Independence Police Department,8.2,-11.8,3.1,-5.8,3.6,-3.2,0.5,-0.5,MO
Indianapolis Metro Police,15.8,-26.7,1.8,-7.9,13.9,-13.7,0.1,-2.1,IN
Inglewood Police Department,61.0,-35.7,37.8,-12.2,16.3,-27.0,4.7,3.5,CA
Irvine Police Department,27.3,-27.8,12.1,2.5,2.0,0.2,12.6,-26.6,CA
Irving Police Department,16.7,-53.4,7.7,-32.0,6.5,-6.2,1.8,-13.7,TX
Jackson Police Department,85.6,2.6,0.2,-1.3,85.4,4.9,0.0,-0.3,MS
Jacksonville Sheriff's Office,24.0,-21.7,4.3,-3.9,17.3,-12.8,2.0,-2.3,FL
Jersey City Police Department,35.7,-42.6,22.9,-4.4,10.0,-13.4,2.3,-22.5,NJ
Joliet Police Department,15.9,-32.4,7.1,-21.2,7.5,-8.7,0.4,-1.6,IL
Kansas City Police Department,24.7,-35.7,10.6,-17.8,12.8,-13.4,0.8,-2.4,KS
Kansas City Police Department,21.4,-23.1,4.2,-5.8,11.4,-16.9,0.7,-1.9,MO
Kent Police Department,12.3,-40.7,3.8,-12.9,3.1,-6.6,4.6,-12.5,WA
Knoxville Police Department,7.2,-18.3,0.7,-3.7,5.7,-11.3,0.0,-1.7,TN
Lafayette Police Department,17.4,-21.4,0.8,-3.6,16.1,-14.5,0.4,-1.6,LA
Lakeland Police Department,24.4,-13.6,9.9,-3.9,14.1,-6.8,0.0,-1.2,FL
Lakewood Police Department,11.8,-17.7,8.4,-14.0,2.7,1.5,0.8,-2.0,CO
Lansing Police Department,21.2,-23.0,6.9,-5.6,10.6,-9.8,3.2,-1.2,MI
Laredo Police Department,98.0,1.8,97.5,2.3,0.2,-0.1,0.2,-0.4,TX
Las Cruces Police Department,65.3,1.7,55.1,-2.6,4.5,2.6,0.6,-1.0,NM
Las Vegas Metropolitan Police Department,19.1,-35.6,11.7,-19.2,7.4,-2.5,0.0,-9.5,NV
Lewisville Police Department,17.7,-34.0,7.1,-23.3,9.2,0.6,1.4,-7.1,TX
Lexington-Fayette County Police,11.1,-16.2,1.2,-5.7,9.3,-5.1,0.4,-3.2,KY
Lincoln Police Department,5.8,-11.7,1.8,-4.9,1.8,-2.1,1.5,-2.5,NE
Little Rock Police Department,31.5,-21.4,2.2,-3.7,27.9,-14.1,0.4,-2.6,AR
Long Beach Police Department,46.5,-24.7,31.6,-10.0,5.7,-7.2,8.7,-3.3,CA
Los Angeles Police Department,64.6,-6.9,43.4,-5.2,11.6,2.8,7.1,-4.2,CA
Louisville Metro Police Department,15.2,-17.1,2.0,-2.8,11.7,-10.8,1.4,-0.9,KY
Lowell Police Department,19.2,-29.0,12.9,-4.8,2.2,-4.7,4.0,-15.4,MA
Lubbock Police Department,20.9,-24.9,18.8,-14.8,1.0,-6.7,0.3,-2.0,TX
Manchester Police Department,4.2,-15.0,1.4,-6.7,0.9,-3.5,0.5,-4.0,NH
McAllen Police Department,95.8,7.3,95.8,11.0,0.0,-0.4,0.0,-2.5,TX
McKinney Police Department,17.2,-19.9,9.2,-10.7,4.9,-5.4,1.8,-3.1,TX
Memphis Police Department,51.9,-21.1,1.3,-5.4,50.7,-12.2,0.0,-1.8,TN
Mesa Police Department,20.0,-16.1,14.4,-12.0,3.5,-0.3,1.7,-0.1,AZ
Miami Police Department,89.5,0.8,55.9,-14.4,32.5,15.6,1.1,0.2,FL
Miami-Dade County Police Department,77.6,-9.5,56.9,-11.8,19.6,3.8,1.1,-0.6,FL
Midland Police Department,27.4,-23.1,23.4,-16.5,3.4,-3.9,0.0,-1.5,TX
Milwaukee Police Department,37.1,-26.3,11.4,-6.2,20.7,-18.3,1.4,-2.1,WI
Minneapolis Police Department,20.2,-19.0,4.4,-5.7,8.8,-8.9,4.4,-1.4,MN
Miramar Police Department,51.8,-36.4,27.7,-8.4,18.8,-26.4,5.2,1.4,FL
Mobile Police Department,33.8,-22.6,0.7,-1.8,32.2,-19.1,0.7,-0.6,AL
Modesto Police Department,22.1,-30.4,17.8,-19.9,1.4,-2.2,2.4,-4.4,CA
Montgomery County Police Department,21.7,-30.7,5.3,-12.6,13.3,-3.6,3.0,-11.2,MD
Montgomery Police Department,43.6,-21.9,0.9,-2.8,42.2,-15.9,0.4,-1.8,AL
Murfreesboro Police Department,16.0,-11.9,0.9,-4.5,11.4,-4.9,1.8,-1.1,TN
Naperville Police Department,8.3,-22.2,3.0,-3.8,3.0,-1.0,1.8,-15.2,IL
Nashville Metro Police Department,15.1,-28.9,1.0,-9.1,12.3,-15.9,1.5,-1.7,TN
New Haven Police Department,47.5,-20.7,20.8,-7.2,25.6,-6.8,0.3,-4.6,CT
New Orleans Police Department,61.5,-7.8,1.9,-3.5,58.2,-1.2,1.0,-2.0,LA
New York City Police Department,47.8,-19.3,26.1,-2.7,16.1,-6.5,5.5,-7.6,NY
Newark Police Department,74.8,-14.2,38.8,4.1,36.0,-13.0,0.0,-1.5,NJ
Newport News Police Department,23.8,-30.6,4.5,-3.5,14.4,-25.0,3.7,0.8,VA
Norfolk Police Department,25.7,-30.1,5.2,-1.9,16.2,-25.0,0.0,-3.1,VA
Norman Police Department,11.0,-12.6,2.4,-3.5,4.3,0.0,3.0,-1.0,OK
North Charleston Police Department,19.2,-43.0,3.2,-6.4,16.0,-31.7,0.0,-2.1,SC
North Las Vegas Police Department,32.8,-35.3,12.4,-26.7,15.2,-3.8,3.7,-1.1,NV
Oakland Police Department,57.1,-16.1,21.5,-4.4,22.2,-3.2,12.0,-4.4,CA
Oceanside Police Department,24.5,-29.2,13.5,-23.5,6.0,1.2,2.0,-4.9,CA
Oklahoma City Police Department,14.5,-29.7,4.7,-13.6,6.7,-7.3,0.8,-3.3,OK
Olathe Police Department,9.0,-14.0,5.4,-5.2,3.0,-1.7,0.6,-4.0,KS
Omaha Police Department,16.1,-15.9,8.3,-5.0,7.9,-4.9,0.0,-2.8,NE
Ontario Police Department,36.0,-46.6,29.8,-40.4,3.6,-1.5,2.2,-3.0,CA
Orlando Police Department,36.5,-23.8,16.3,-11.4,17.5,-9.1,2.6,-0.9,FL
Overland Park Police Department,12.0,-9.1,4.4,-2.3,6.0,1.2,1.6,-5.3,KS
Palm Bay Police Department,21.1,-13.4,10.2,-3.4,9.5,-7.2,1.4,0.1,FL
Pasadena Police Department,60.4,-0.2,35.6,3.7,14.9,4.7,9.9,-5.4,CA
Paterson Police Department,54.4,-37.6,43.3,-15.8,11.2,-17.1,0.0,-3.9,NJ
Pearland Police Department,25.5,-28.3,17.7,-4.0,6.4,-10.6,1.4,-11.7,TX
Pembroke Pines Police Department,27.7,-41.6,17.7,-27.0,9.1,-7.4,0.0,-6.1,FL
Peoria Police Department,15.6,-11.9,9.1,-8.7,2.7,-0.3,2.2,-1.2,AZ
Philadelphia Police Department,43.2,-20.5,8.2,-4.8,33.4,-8.3,1.5,-5.0,PA
Phoenix Police Department,23.4,-30.6,14.8,-25.8,3.8,-2.7,1.9,-1.3,AZ
Pittsburgh Bureau of Police,15.7,-19.4,0.7,-1.8,14.3,-10.4,0.6,-4.3,PA
Plano Police Department,16.8,-26.0,8.2,-6.0,7.1,-0.2,0.6,-17.9,TX
Pomona Police Department,48.3,-38.4,35.8,-33.0,4.6,-2.1,7.9,-1.5,CA
Port St. Lucie Police Department,21.5,-19.8,11.0,-8.8,7.3,-9.2,0.9,-0.9,FL
Portland Police Bureau,14.6,-13.4,3.8,-5.8,3.8,-2.1,6.1,-1.4,OR
Prince William County Police Department,20.5,-32.3,8.4,-12.7,7.2,-12.5,2.1,-5.6,VA
Providence Police Department,21.1,-41.9,10.3,-29.7,8.2,-4.7,0.2,-6.3,RI
Provo Police Department,4.0,-22.5,1.0,-17.2,0.0,-0.7,0.0,-3.1,UT
Pueblo Police Department,29.2,-27.0,25.9,-25.2,1.1,-1.1,0.5,-0.1,CO
Raleigh Police Department,16.2,-31.0,3.1,-8.2,12.2,-17.0,0.9,-3.5,NC
Ramapo Town Police Department,12.9,-22.7,9.9,-4.1,3.0,-13.2,0.0,-3.6,NY
Rialto Police Department,43.8,-44.7,25.0,-45.8,15.6,2.5,2.1,-0.1,CA
Richardson Police Department,14.5,-30.7,6.6,-11.1,4.6,-4.1,3.3,-11.7,TX
Richmond Police Department,51.4,-29.4,14.6,-25.4,21.1,-0.3,6.5,-7.7,CA
Richmond Police Department,34.4,-25.9,3.3,-3.0,31.1,-17.6,0.0,-2.1,VA
Riverside Police Department,30.3,-37.9,21.3,-30.9,6.0,0.4,2.7,-4.1,CA
Rochester Police Department,25.3,-37.5,11.1,-6.4,11.2,-27.2,2.3,-0.8,NY
Rochester Police Department,6.8,-15.0,3.0,-2.5,2.3,-4.2,0.8,-6.1,MN
Rockford Police Department,16.4,-27.0,4.6,-12.4,9.9,-11.2,0.0,-2.5,IL
Round Rock Police Department,16.8,-32.5,13.4,-17.4,2.7,-7.8,0.0,-5.6,TX
Sacramento Police Department,24.8,-41.3,10.6,-16.9,4.0,-9.4,7.9,-10.4,CA
Salem Police Department,5.9,-24.9,5.4,-15.3,0.0,-1.2,0.5,-2.5,OR
Salinas Police Department,39.9,-44.9,28.4,-46.6,1.4,-0.2,2.7,-4.2,CA
Salt Lake City Police Department,12.1,-22.0,5.8,-14.4,1.4,-1.3,4.2,-1.0,UT
San Antonio Police Department,57.7,-15.8,51.5,-11.5,5.4,-1.1,0.0,-2.3,TX
San Bernardino Police Department,39.0,-43.0,26.6,-34.0,9.7,-4.1,1.5,-3.0,CA
San Diego Police Department,34.3,-22.4,19.6,-10.3,6.5,0.1,4.3,-12.2,CA
San Francisco Police Department,47.6,-10.8,15.7,0.4,9.0,3.5,22.3,-10.8,CA
San Jose Police Department,43.7,-28.6,24.4,-9.0,4.7,2.0,3.0,-29.6,CA
Sandy Springs Police Department,23.6,-20.5,6.3,-8.7,15.7,-5.6,1.6,-3.5,GA
Santa Ana Police Department,53.8,-37.2,47.1,-31.5,2.2,1.3,4.0,-6.6,CA
Santa Clara Police Department,27.2,-38.7,13.2,-6.1,4.4,0.5,8.8,-30.3,CA
Santa Maria Police Department,44.4,-34.3,36.7,-34.4,3.3,2.6,2.2,-3.0,CA
Savannah-Chatham Metro Police Department,38.0,-13.3,5.1,-0.4,30.3,-11.1,1.5,-0.9,GA
Scottsdale Police Department,11.9,-7.2,6.2,-4.4,2.8,0.9,2.3,-1.6,AZ
