City,State,Population,ViolentCrime
Abbeville,AL,2645,11
Adamsville,AL,4481,19
Addison,AL,744,1
Alabaster,AL,31170,44
Alexander City,AL,14692,119
Aliceville,AL,2419,7
Andalusia,AL,9079,34
Anniston,AL,22648,461
Arab,AL,8295,32
Ardmore,AL,1304,2
Arley,AL,353,3
Ashford,AL,2177,2
Ashland,AL,1926,9
Ashville,AL,2239,10
Athens,AL,23972,16
Atmore,AL,10099,52
Auburn,AL,57970,115
Bay Minette,AL,8398,47
Bear Creek,AL,1059,4
Bessemer,AL,27240,527
Birmingham,AL,212001,2852
Blountsville,AL,1697,6
Brent,AL,4894,16
Brewton,AL,5331,47
Bridgeport,AL,2389,13
Brilliant,AL,892,4
Butler,AL,1850,6
Camp Hill,AL,995,22
Carbon Hill,AL,1988,14
Cedar Bluff,AL,1814,20
Centre,AL,3603,21
Centreville,AL,2708,0
Chickasaw,AL,6001,53
Childersburg,AL,5111,1
Citronelle,AL,3881,22
Clanton,AL,8682,52
Clayton,AL,2967,8
Coaling,AL,1677,10
Collinsville,AL,1978,6
Cordova,AL,2050,15
Creola,AL,1924,10
Crossville,AL,1850,0
Cullman,AL,14881,31
Dadeville,AL,3186,17
Daleville,AL,5260,17
Daphne,AL,23204,31
Dauphin Island,AL,1236,4
Decatur,AL,56091,149
Demopolis,AL,7240,47
Dora,AL,1992,21
Dothan,AL,67811,334
Double Springs,AL,1064,5
Douglas,AL,762,1
East Brewton,AL,2437,22
Eclectic,AL,1015,11
Elba,AL,3955,29
Enterprise,AL,28145,112
Eufaula,AL,12896,78
Eutaw,AL,2871,46
Evergreen,AL,3843,37
Fairfield,AL,11003,181
Fairhope,AL,16847,40
Fayette,AL,4530,11
Flomaton,AL,1423,9
Florala,AL,1988,10
Florence,AL,39481,207
Foley,AL,15615,55
Fyffe,AL,1025,3
Gadsden,AL,36610,424
Gardendale,AL,13830,53
Geneva,AL,4501,13
Georgiana,AL,1666,12
Glencoe,AL,5222,13
Grant,AL,915,4
Greenville,AL,7820,0
Guin,AL,2348,16
Gulf Shores,AL,10233,51
Guntersville,AL,8388,48
Gurley,AL,794,4
Hackleburg,AL,1498,3
Hamilton,AL,6546,12
Hanceville,AL,3173,16
Hartford,AL,2653,13
Hartselle,AL,14563,19
Headland,AL,4694,7
Helena,AL,17306,18
Henagar,AL,2343,3
Hokes Bluff,AL,4361,3
Hoover,AL,84139,74
Hueytown,AL,15956,26
Huntsville,AL,184738,1507
Ider,AL,718,5
Irondale,AL,12452,46
Jackson,AL,5038,34
Jacksonville,AL,12385,35
Jasper,AL,14185,113
Jemison,AL,2601,13
Kinsey,AL,2228,2
Lafayette,AL,2982,19
Lake View,AL,2064,6
Lanett,AL,6424,75
Leeds,AL,11914,57
Leesburg,AL,1020,10
Leighton,AL,724,8
Level Plains,AL,2092,11
Lincoln,AL,6365,31
Linden,AL,2036,16
Livingston,AL,3461,18
Loxley,AL,1694,17
Luverne,AL,2863,11
Madison,AL,45540,133
Maplesville,AL,706,4
Margaret,AL,4484,4
McIntosh,AL,228,10
Midfield,AL,5310,47
Midland City,AL,2476,16
Millbrook,AL,15042,54
Mobile4,AL,250557,1541
Monroeville,AL,6327,78
Montevallo,AL,6503,15
Moody,AL,12278,21
Morris,AL,1897,5
Moulton,AL,3397,5
Moundville,AL,2445,3
Mountain Brook,AL,20354,12
Mount Vernon,AL,1561,28
Muscle Shoals,AL,13431,58
Napier Field,AL,353,4
New Brockton,AL,1166,5
New Hope,AL,2799,17
Newton,AL,1509,3
Northport,AL,24308,114
Notasulga,AL,906,7
Odenville,AL,3642,21
Oneonta,AL,6661,21
Opelika,AL,28302,165
Owens Crossroads,AL,1766,1
