Law Enforcement Agency,Total Minority Representation,Hispanic Police Representation,Black Police Representation,Asian Police Representation
Abilene Police Department (TX),11% (-28.4),7.9% (-17.4),3.1% (-6.9),0% (-2)
Akron Police Department (OH),19.7% (-19.9),0.2% (-2),18.4% (-12),1% (-1.6)
Albemarle County Police Department (VA),5.8% (-16.7),2.5% (-3.2),3.3% (-5.7),0% (-4.2)
Albuquerque Police Department (NM),42.9% (-15.4),39.4% (-7.5),2.3% (-0.6),1% (-1.4)
Alexandria Police Department (VA),31.5% (-16),10.3% (-6.4),16.1% (-5.1),4.8% (-1.5)
Allentown Police Department (PA),10.3% (-49),7.5% (-37.6),2.8% (-7.2),0% (-1.6)
Amarillo Police Department (TX),15.3% (-26.9),13.6% (-16.6),1.5% (-4.6),0% (-3.3)
Amherst (Town) Police Department (NY),2% (-16.4),0.7% (-2.4),1.3% (-4.5),0% (-7.6)
Anaheim Police Department (CA),35.5% (-37.1),24.5% (-28.1),3.3% (+0.7),7% (-8.1)
Ann Arbor Police Department (MI),17.2% (-12.6),2.6% (-1.8),8.6% (+1.3),3.4% (-10.9)
Arlington County Police Department (VA),25.7% (-10.8),12.2% (-3.2),10.2% (+1.8),3.3% (-6.3)
Arlington Police Department (TX),34.8% (-21.3),12.9% (-15.4),16.1% (-2.8),4.5% (-2.4)
Athens-Clarke County Police Department (GA),18.9% (-24.4),3.8% (-6.8),14.7% (-11.6),0.4% (-3.9)
Atlanta Police Department (GA),62.8% (-0.1),3.8% (-1.5),57.9% (+5.7),1% (-2.7)
Aurora Police Department (CO),15.1% (-38.2),7.6% (-21.3),3.8% (-11.8),0.9% (-3.9)
Aurora Police Department (IL),18.1% (-41.7),11.5% (-30.2),4.9% (-3.5),0% (-7.4)
Austin Police Department (TX),30.8% (-19.9),20.5% (-13.4),8.7% (+1.2),1.6% (-4.9)
Bakersfield Police Department (CA),25% (-39.3),19.2% (-27.7),3.4% (-4.6),2.4% (-4.2)
Baltimore County Police Department (MD),14.5% (-24.4),1.4% (-3.2),11.5% (-14.9),1.3% (-4.1)
Baltimore Police Department (MD),49.3% (-22.6),7.1% (+2.6),40.3% (-22.2),1.6% (-0.8)
Baton Rouge Police Department (LA),30.2% (-33.3),0.6% (-2.4),29.6% (-25.2),0% (-3.7)
Beaumont Police Department (TX),22.1% (-43.7),7.5% (-6.4),13.8% (-32.8),0% (-3.4)
Bellevue Police Department (WA),14.2% (-28),2.3% (-3.6),1.7% (-0.3),8.5% (-21)
Berkeley Police Department (CA),42.8% (-1.6),10.8% (-0.8),16.3% (+8.2),15.7% (-3.5)
Billings Police Department (MT),2.2% (-11.5),0.7% (-4.8),0.7% (-0.3),0% (-0.9)
Birmingham Police Department (AL),60.7% (-17.9),0% (-3.3),60.7% (-12.4),0% (-1.1)
Boise Police Department (ID),8.5% (-7.7),3.9% (-3.7),3.5% (+2.3),0.7% (-2.8)
Boston Police Department (MA),34.5% (-19.4),8.3% (-10.2),23.9% (+1.4),2.4% (-6.7)
Bridgeport Police Department (CT),42.4% (-36.5),26.6% (-13.2),15.2% (-18.1),0.5% (-2.9)
Buffalo (City) Police Department (NY),29.2% (-25.5),7.1% (-3.6),21.9% (-14.5),0.3% (-3.7)
Burbank Police Department (CA),28.9% (-15.6),21.1% (-5.6),3.9% (+2),0% (-11.4)
Cambridge Police Department (MA),22.4% (-15.7),8.7% (+0.7),10.8% (0),2.9% (-12.1)
Cape Coral Police Department (FL),9.3% (-16.4),7.4% (-11.7),1.9% (-1.4),0% (-1.8)
Carrollton Police Department (TX),9.8% (-46.4),3.1% (-27.8),4.9% (-3.7),1.8% (-12.4)
Cary Police Department (NC),10.6% (-23.2),1.1% (-7.7),9.4% (+1.7),0% (-14.3)
Cedar Rapids Police Department (IA),4% (-10.8),1% (-2.7),2% (-4.3),1% (-0.7)
Chandler Police Department (AZ),14.2% (-26),9.1% (-13.2),2.8% (-2.4),1.6% (-6.7)
Charleston Police Department (SC),21.7% (-8.3),2.7% (-0.2),18.6% (-5.3),0.2% (-1.2)
Charlotte-Mecklenburg Police Department (NC),22.8% (-33),3.7% (-9.7),16.5% (-18),2.1% (-3)
Chesapeake Police Department (VA),19.9% (-20.5),5% (+0.2),12.2% (-17.2),2.5% (-0.7)
Chesterfield County Police Department (VA),11.6% (-24.2),2.1% (-5.4),7.6% (-14.7),1.5% (-2)
Chicago Police Department (IL),47.9% (-20.1),18.8% (-10.3),24.7% (-6.6),0.3% (-5.5)
Chula Vista Police Department (CA),38% (-41.9),29% (-29.5),4% (-0.1),5% (-8.6)
Cincinnati Police Department (OH),33.9% (-16.7),0.5% (-2.4),30.6% (-12.4),0.6% (-1.3)
Clarksville Police Department (TN),15.8% (-24),2.9% (-7.3),11% (-11.4),0% (-2.1)
